Frequency [Hz],PSD [microns/s^2]^2/Hz
0.147514179078925,2.78119814307333e-20
0.147786215123454,2.79122668525138e-20
0.148058752839144,2.80129052541087e-20
0.148331793151145,2.8113897815603e-20
0.148605336986311,2.82152457205778e-20
0.148879385273208,2.83169501561161e-20
0.149153938942113,2.84190123128105e-20
0.149428998925018,2.85214333847706e-20
0.149704566155634,2.8624214569629e-20
0.149980641569396,2.87273570685493e-20
0.15025722610346,2.88308620862323e-20
0.150534320696714,2.89347308309236e-20
0.150811926289775,2.90389645144202e-20
0.151090043824996,2.91435643520774e-20
0.151368674246468,2.92485315628165e-20
0.151647818500022,2.93538673691302e-20
0.151927477533233,2.94595729970911e-20
0.152207652295425,2.95656496763577e-20
0.152488343737671,2.96720986401816e-20
0.1527695528128,2.97789211254139e-20
0.153051280475395,2.98861183725129e-20
0.153333527681803,2.99936916255502e-20
0.153616295390132,3.01016421322176e-20
0.153899584560258,3.02099711438343e-20
0.154183396153827,3.03186799153533e-20
0.154467731134258,3.04277697053684e-20
0.154752590466747,3.05372417761207e-20
0.15503797511827,3.06470973935055e-20
0.155323886057587,3.07573378270789e-20
0.155610324255242,3.08679643500649e-20
0.155897290683571,3.09789782393613e-20
0.156184786316703,3.10903807755472e-20
0.156472812130564,5.06306652058027e-19
0.156761369102877,5.0410627992959e-19
0.157050458213171,5.01915941000251e-19
0.15734008044278,4.9973559875179e-19
0.157630236774847,4.9756521681769e-19
0.15792092819433,4.9540475898256e-19
0.158212155688003,4.93254189181555e-19
0.158503920244457,4.91113471499779e-19
0.15879622285411,4.88982570171737e-19
0.159089064509205,4.86861449580734e-19
0.159382446203812,4.84750074258317e-19
0.15967636893384,4.82648408883704e-19
0.159970833697028,4.8055641828322e-19
0.160265841492961,4.78474067429728e-19
0.160561393323063,4.7640132144207e-19
0.160857490190608,4.74338145584508e-19
0.161154133100716,4.72284505266173e-19
0.161451323060366,4.70240366040507e-19
0.161749061078389,4.68205693604711e-19
0.162047348165479,4.66180453799202e-19
0.162346185334195,4.64164612607068e-19
0.16264557359896,4.62158136153518e-19
0.162945513976069,4.60160990705353e-19
0.163246007483694,4.58173142670426e-19
0.16354705514188,4.56194558597102e-19
0.163848657972556,4.54225205173738e-19
0.164150816999536,4.52265049228148e-19
0.16445353324852,4.50314057727079e-19
0.164756807747101,4.48372197775696e-19
0.165060641524766,4.4643943661705e-19
0.165365035612901,4.44515741631586e-19
0.165669991044795,4.42601080336614e-19
0.165975508855641,4.40695420385802e-19
0.166281590082542,4.38798729568686e-19
0.166588235764512,4.36910975810163e-19
0.166895446942484,4.35032127169989e-19
0.167203224659308,4.33162151842311e-19
0.167511569959758,4.31301018155154e-19
0.167820483890536,4.29448694569969e-19
0.168129967500271,4.27605149681139e-19
0.168440021839529,4.25770352215527e-19
0.168750647960812,4.23944271032006e-19
0.169061846918564,4.22126875121011e-19
0.169373619769171,4.20318133604098e-19
0.16968596757097,4.18518015733508e-19
0.169998891384249,4.16726490891741e-19
0.17031239227125,4.14943528591152e-19
0.170626471296175,4.13169098473547e-19
0.170941129525188,4.11403170309807e-19
0.17125636802642,4.09645713999519e-19
0.171572187869971,4.07896699570642e-19
0.171888590127914,4.06156097179172e-19
0.172205575874302,4.04423877108871e-19
0.172523146185163,4.02700009770991e-19
0.172841302138516,4.00984465704059e-19
0.173160044814363,3.99277215573699e-19
0.173479375294699,3.9757823017251e-19
0.173799294663516,3.95887480419999e-19
0.174119804006803,3.94204937362605e-19
0.174440904412553,3.92530572173792e-19
0.174762596970765,3.90864356154266e-19
0.175084882773448,3.8920626073232e-19
0.175407762914624,3.87556257464343e-19
0.175731238490334,3.85914318035516e-19
0.176055310598639,3.84280414260761e-19
0.176379980339626,3.82654518085986e-19
0.176705248815411,3.81036601589708e-19
0.177031117130141,3.79426636985138e-19
0.17735758639,3.77824596622859e-19
0.177684657703212,3.7623045299426e-19
0.178012332180044,3.7464417873591e-19
0.178340610932812,3.7306574663516e-19
0.178669495075881,3.71495129637338e-19
0.178998985725674,3.69932300854984e-19
0.179329084000671,3.68377233579791e-19
0.179659791021413,3.66829901298097e-19
0.179991107910512,3.65290277711099e-19
0.180323035792645,3.63758336761373e-19
0.180655575794567,3.6223405266791e-19
0.180988729045109,3.60717399972638e-19
0.181322496675185,3.59208353602588e-19
0.181656879817793,3.57706888953389e-19
0.18199187960802,3.56212982001773e-19
0.18232749718305,3.54726609457311e-19
0.182663733682159,3.53247748966301e-19
0.183000590246728,3.51776379382368e-19
0.183338068020241,3.50312481115861e-19
0.183676168148291,3.48856036558864e-19
0.184014891778584,3.47407030534602e-19
0.184354240060941,3.45965450593544e-19
0.184694214147307,3.44531286680985e-19
0.185034815191747,3.4310452907913e-19
0.185376044350456,3.41685162469214e-19
0.185717902781763,3.40273152979652e-19
0.186060391646131,3.38868427001759e-19
0.186403512106164,3.37470851805335e-19
0.186747265326609,3.36080248926721e-19
0.187091652474361,3.34696467546493e-19
0.187436674718468,3.33319472943221e-19
0.187782333230134,3.31949351602875e-19
