Frequency [Hz],PSD A^2/Hz
601.10727,8.31E-13
601.77432,9.07E-13
602.44136,7.29E-13
603.10841,9.57E-13
603.77545,1.15E-12
604.44249,1.03E-12
605.10954,1.12E-12
605.77658,1.12E-12
606.44363,8.74E-13
607.11067,7.65E-13
607.77772,1.43E-12
608.44476,9.94E-13
609.11181,5.59E-13
609.77885,1.45E-12
610.4459,7.81E-13
611.11294,1.73E-12
611.77999,8.22E-13
612.44703,1.25E-12
613.11408,8.48E-13
613.78112,5.17E-13
614.44817,9.52E-13
615.11521,8.68E-13
615.78225,1.22E-12
616.4493,7.12E-13
617.11634,7.83E-13
617.78339,1.25E-12
618.45043,5.38E-13
619.11748,1.05E-12
619.78452,7.32E-13
620.45157,1.29E-12
621.11861,8.59E-13
621.78566,8.85E-13
622.4527,9.65E-13
623.11975,7.70E-13
623.78679,1.08E-12
624.45384,1.07E-12
625.12088,1.13E-12
625.78793,3.44E-13
626.45497,6.54E-13
627.12201,7.82E-13
627.78906,1.41E-12
628.4561,1.29E-12
629.12315,1.70E-12
629.79019,8.11E-13
630.45724,1.05E-12
631.12428,1.09E-12
631.79133,1.78E-12
632.45837,7.43E-13
633.12542,9.47E-13
633.79246,1.30E-12
634.45951,8.99E-13
635.12655,1.21E-12
635.7936,9.67E-13
636.46064,9.92E-13
637.12769,1.40E-12
637.79473,1.58E-12
638.46177,1.43E-12
639.12882,1.07E-12
639.79586,8.66E-13
640.46291,1.04E-12
641.12995,9.88E-13
641.797,7.61E-13
642.46404,9.88E-13
643.13109,1.12E-12
643.79813,9.20E-13
644.46518,1.21E-12
645.13222,6.25E-13
645.79927,8.78E-13
646.46631,1.53E-12
647.13336,6.22E-13
647.8004,1.88E-12
648.46744,1.21E-12
649.13449,7.20E-13
649.80153,8.99E-13
650.46858,1.20E-12
651.13562,1.38E-12
651.80267,1.16E-12
652.46971,1.01E-12
653.13676,1.22E-12
653.8038,8.31E-13
654.47085,1.10E-12
655.13789,1.12E-12
655.80494,9.96E-13
656.47198,1.16E-12
657.13903,6.87E-13
657.80607,1.57E-12
658.47312,1.29E-12
659.14016,1.11E-12
659.8072,7.77E-13
660.47425,1.56E-12
661.14129,1.13E-12
661.80834,1.37E-12
662.47538,8.92E-13
663.14243,1.38E-12
663.80947,1.17E-12
664.47652,8.63E-13
665.14356,1.22E-12
665.81061,7.76E-13
666.47765,7.03E-13
667.1447,8.70E-13
667.81174,1.07E-12
668.47879,1.15E-12
669.14583,1.38E-12
669.81288,1.31E-12
670.47992,1.36E-12
671.14696,8.59E-13
671.81401,9.69E-13
672.48105,8.39E-13
673.1481,8.81E-13
673.81514,1.23E-12
674.48219,1.07E-12
675.14923,5.00E-13
675.81628,1.01E-12
676.48332,1.09E-12
677.15037,9.01E-13
677.81741,6.22E-13
678.48446,8.11E-13
679.1515,1.40E-12
679.81855,8.18E-13
680.48559,1.04E-12
681.15264,1.26E-12
681.81968,1.15E-12
682.48672,9.61E-13
683.15377,1.20E-12
683.82081,1.53E-12
