Frequency [Hz],PSD [m/s^2]^2/Hz
109.532920218125,1.83488700049343e-12
109.689172600747,1.79449368298851e-13
109.845424983369,6.61038380971341e-12
110.001677365991,6.4779226941505e-12
110.157929748614,5.55874814641712e-12
110.314182131236,1.15964072907842e-11
110.470434513858,6.2715229316963e-12
110.62668689648,6.19131040977599e-13
110.782939279102,1.15679867935309e-11
110.939191661724,5.70313824500458e-12
111.095444044346,1.44028840846027e-12
111.251696426969,2.08418245886337e-11
111.407948809591,2.60154675963517e-11
111.564201192213,3.6888349724841e-12
111.720453574835,1.70407089544179e-12
111.876705957457,6.6549918692119e-12
112.032958340079,2.5557428558724e-12
112.189210722702,9.18411950970065e-12
112.345463105324,1.2909194232064e-11
112.501715487946,1.54498468646362e-11
112.657967870568,8.32945833054765e-12
112.81422025319,5.25951311127885e-12
112.970472635812,2.65492934845045e-12
113.126725018434,4.42548302357338e-12
113.282977401057,1.11493591491698e-11
113.439229783679,9.48271556159784e-12
113.595482166301,7.72878050604424e-13
113.751734548923,9.69039277427017e-12
113.907986931545,5.40200086155737e-12
114.064239314167,5.40159708953274e-13
114.220491696789,2.68252230276346e-12
114.376744079412,2.2657713038437e-12
114.532996462034,3.79775905441783e-12
114.689248844656,8.89427896015528e-12
114.845501227278,9.35978828946243e-14
115.0017536099,7.35290887392372e-13
115.158005992522,5.98333850827146e-12
115.314258375144,3.9371280603136e-13
